vehicle_id,timestamp,latitude,longitude,speed,accident
V001,2024-01-01 10:00:00,40.7128,-74.0060,45.0,False
V001,2024-01-01 10:01:00,40.7130,-74.0058,52.0,False
V001,2024-01-01 10:02:00,40.7132,-74.0056,38.0,False
V001,2024-01-01 10:03:00,40.7134,-74.0054,65.0,False
V001,2024-01-01 10:04:00,40.7136,-74.0052,78.0,False
V001,2024-01-01 10:05:00,40.7138,-74.0050,85.0,False
V001,2024-01-01 10:06:00,40.7140,-74.0048,92.0,False
V001,2024-01-01 10:07:00,40.7142,-74.0046,105.0,False
V001,2024-01-01 10:08:00,40.7144,-74.0044,125.0,False
V001,2024-01-01 10:09:00,40.7146,-74.0042,130.0,False
V001,2024-01-01 10:10:00,40.7148,-74.0040,135.0,False
V001,2024-01-01 10:11:00,40.7150,-74.0038,25.0,False
V001,2024-01-01 10:12:00,40.7152,-74.0036,30.0,False
V001,2024-01-01 10:13:00,40.7154,-74.0034,35.0,False
V001,2024-01-01 10:14:00,40.7156,-74.0032,40.0,False
V001,2024-01-01 10:15:00,40.7158,-74.0030,45.0,False
V001,2024-01-01 10:16:00,40.7160,-74.0028,50.0,False
V001,2024-01-01 10:17:00,40.7162,-74.0026,55.0,False
V001,2024-01-01 10:18:00,40.7164,-74.0024,60.0,False
V001,2024-01-01 10:19:00,40.7166,-74.0022,65.0,False
V001,2024-01-01 10:20:00,40.7168,-74.0020,70.0,False
V001,2024-01-01 10:21:00,40.7170,-74.0018,75.0,False
V001,2024-01-01 10:22:00,40.7172,-74.0016,80.0,False
V001,2024-01-01 10:23:00,40.7174,-74.0014,85.0,False
V001,2024-01-01 10:24:00,40.7176,-74.0012,90.0,False
V001,2024-01-01 10:25:00,40.7178,-74.0010,95.0,False
V001,2024-01-01 10:26:00,40.7180,-74.0008,100.0,False
V001,2024-01-01 10:27:00,40.7182,-74.0006,105.0,False
V001,2024-01-01 10:28:00,40.7184,-74.0004,110.0,False
V001,2024-01-01 10:29:00,40.7186,-74.0002,115.0,False
V001,2024-01-01 10:30:00,40.7188,-74.0000,120.0,False
V001,2024-01-01 10:31:00,40.7190,73.9998,125.0,False
V001,2024-01-01 10:32:00,40.7192,73.9996,130.0,False
V001,2024-01-01 10:33:00,40.7194,73.9994,135.0,False
V001,2024-01-01 10:34:00,40.7196,73.9992,140.0,False
V001,2024-01-01 10:35:00,40.7198,73.9990,20.0,False
V001,2024-01-01 10:36:00,40.7200,73.9988,25.0,False
V001,2024-01-01 10:37:00,40.7202,73.9986,30.0,False
V001,2024-01-01 10:38:00,40.7204,73.9984,35.0,False
V001,2024-01-01 10:39:00,40.7206,73.9982,40.0,False
V001,2024-01-01 10:40:00,40.7208,73.9980,45.0,False
V001,2024-01-01 10:41:00,40.7210,73.9978,50.0,False
V001,2024-01-01 10:42:00,40.7212,73.9976,55.0,False
V001,2024-01-01 10:43:00,40.7214,73.9974,60.0,False
V001,2024-01-01 10:44:00,40.7216,73.9972,65.0,False
V001,2024-01-01 10:45:00,40.7218,73.9970,70.0,False
V001,2024-01-01 10:46:00,40.7220,73.9968,75.0,False
V001,2024-01-01 10:47:00,40.7222,73.9966,80.0,False
V001,2024-01-01 10:48:00,40.7224,73.9964,85.0,False
V001,2024-01-01 10:49:00,40.7226,73.9962,90.0,False
V001,2024-01-01 10:50:00,40.7228,73.9960,95.0,False
V001,2024-01-01 10:51:00,40.7230,73.9958,100.0,False
V001,2024-01-01 10:52:00,40.7232,73.9956,105.0,False
V001,2024-01-01 10:53:00,40.7234,73.9954,110.0,False
V001,2024-01-01 10:54:00,40.7236,73.9952,115.0,False
V001,2024-01-01 10:55:00,40.7238,73.9950,120.0,False
V001,2024-01-01 10:56:00,40.7240,73.9948,125.0,False
V001,2024-01-01 10:57:00,40.7242,73.9946,130.0,False
V001,2024-01-01 10:58:00,40.7244,73.9944,135.0,False
V001,2024-01-01 10:59:00,40.7246,73.9942,140.0,False
V001,2024-01-01 11:00:00,40.7248,73.9940,15.0,False
V001,2024-01-01 11:01:00,40.7250,73.9938,20.0,False
V001,2024-01-01 11:02:00,40.7252,73.9936,25.0,False
V001,2024-01-01 11:03:00,40.7254,73.9934,30.0,False
V001,2024-01-01 11:04:00,40.7256,73.9932,35.0,False
V001,2024-01-01 11:05:00,40.7258,73.9930,40.0,False
V001,2024-01-01 11:06:00,40.7260,73.9928,45.0,False
V001,2024-01-01 11:07:00,40.7262,73.9926,50.0,False
V001,2024-01-01 11:08:00,40.7264,73.9924,55.0,False
V001,2024-01-01 11:09:00,40.7266,73.9922,60.0,False
V001,2024-01-01 11:10:00,40.7268,73.9920,65.0,False
V001,2024-01-01 11:11:00,40.7270,73.9918,70.0,False
V001,2024-01-01 11:12:00,40.7272,73.9916,75.0,False
V001,2024-01-01 11:13:00,40.7274,73.9914,80.0,False
V001,2024-01-01 11:14:00,40.7276,73.9912,85.0,False
V001,2024-01-01 11:15:00,40.7278,73.9910,90.0,False
V001,2024-01-01 11:16:00,40.7280,73.9908,95.0,False
V001,2024-01-01 11:17:00,40.7282,73.9906,100.0,False
V001,2024-01-01 11:18:00,40.7284,73.9904,105.0,False
V001,2024-01-01 11:19:00,40.7286,73.9902,110.0,False
V001,2024-01-01 11:20:00,40.7288,73.9900,115.0,False
V001,2024-01-01 11:21:00,40.7290,73.9898,120.0,False
V001,2024-01-01 11:22:00,40.7292,73.9896,125.0,False
V001,2024-01-01 11:23:00,40.7294,73.9894,130.0,False
V001,2024-01-01 11:24:00,40.7296,73.9892,135.0,False
V001,2024-01-01 11:25:00,40.7298,73.9890,140.0,False
V001,2024-01-01 11:26:00,40.7300,73.9888,10.0,False
V001,2024-01-01 11:27:00,40.7302,73.9886,15.0,False
V001,2024-01-01 11:28:00,40.7304,73.9884,20.0,False
V001,2024-01-01 11:29:00,40.7306,73.9882,25.0,False
V001,2024-01-01 11:30:00,40.7308,73.9880,30.0,False
V001,2024-01-01 11:31:00,40.7310,73.9878,35.0,False
V001,2024-01-01 11:32:00,40.7312,73.9876,40.0,False
V001,2024-01-01 11:33:00,40.7314,73.9874,45.0,False
V001,2024-01-01 11:34:00,40.7316,73.9872,50.0,False
V001,2024-01-01 11:35:00,40.7318,73.9870,55.0,False
V001,2024-01-01 11:36:00,40.7320,73.9868,60.0,False
V001,2024-01-01 11:37:00,40.7322,73.9866,65.0,False
V001,2024-01-01 11:38:00,40.7324,73.9864,70.0,False
V001,2024-01-01 11:39:00,40.7326,73.9862,75.0,False
V001,2024-01-01 11:40:00,40.7328,73.9860,80.0,False
V001,2024-01-01 11:41:00,40.7330,73.9858,85.0,False
V001,2024-01-01 11:42:00,40.7332,73.9856,90.0,False
V001,2024-01-01 11:43:00,40.7334,73.9854,95.0,False
V001,2024-01-01 11:44:00,40.7336,73.9852,100.0,False
V001,2024-01-01 11:45:00,40.7338,73.9850,105.0,False
V001,2024-01-01 11:46:00,40.7340,73.9848,110.0,False
V001,2024-01-01 11:47:00,40.7342,73.9846,115.0,False
V001,2024-01-01 11:48:00,40.7344,73.9844,120.0,False
V001,2024-01-01 11:49:00,40.7346,73.9842,125.0,False
V001,2024-01-01 11:50:00,40.7348,73.9840,130.0,False
V001,2024-01-01 11:51:00,40.7350,73.9838,135.0,False
V001,2024-01-01 11:52:00,40.7352,73.9836,140.0,False
V001,2024-01-01 11:53:00,40.7354,73.9834,5.0,False
V001,2024-01-01 11:54:00,40.7356,73.9832,10.0,False
V001,2024-01-01 11:55:00,40.7358,73.9830,15.0,False
V001,2024-01-01 11:56:00,40.7360,73.9828,20.0,False
V001,2024-01-01 11:57:00,40.7362,73.9826,25.0,False
V001,2024-01-01 11:58:00,40.7364,73.9824,30.0,False
V001,2024-01-01 11:59:00,40.7366,73.9822,35.0,False
V001,2024-01-01 12:00:00,40.7368,73.9820,40.0,False
